#{"t_start": 1771510861.7328315, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
345.0,3143,996.184663
150.0,1795,997.06514
225.0,2533,998.314504
325.0,2727,999.685939
100.0,1275,1000.335263
725.0,4041,1008.350421
205.0,2711,1009.897155
720.0,3521,1011.560937
455.0,3311,1013.169324
210.0,2077,1014.19873
280.0,1969,1015.184435
180.0,1717,1016.053838
190.0,2369,1017.268677
340.0,2935,1019.026707
230.0,2127,1020.239859
135.0,1699,1021.047728
320.0,2389,1022.206366
175.0,1611,1022.980798
20.0,1339,1023.651111
135.0,1515,1024.392651
180.0,2159,1025.477255
590.0,3807,1027.429048
420.0,3177,1029.066851
195.0,1709,1030.147867
580.0,3936,1032.249046
155.0,2035,1033.221737
560.0,3899,1035.117916
770.0,4065,1037.145119
535.0,3459,1038.91344
140.0,1581,1039.731113
295.0,3625,1041.873542
255.0,2183,1043.133967
445.0,3179,1044.660873
110.0,1821,1045.528873
545.0,3089,1047.038286
510.0,2683,1048.374494
180.0,2647,1049.723543
510.0,2869,1051.19381
155.0,1509,1051.97681
385.0,3255,1054.049345
315.0,3069,1055.503444
160.0,2331,1056.620002
445.0,3899,1058.530667
405.0,2597,1064.453428
365.0,3307,1066.608513
350.0,2531,1067.812241
290.0,2605,1069.06212
290.0,2947,1070.556555
215.0,2101,1071.763273
235.0,2213,1072.988061
105.0,1495,1073.74749
605.0,2935,1075.408304
230.0,2039,1076.697695
80.0,1541,1077.454437
520.0,2913,1078.829288
280.0,2689,1080.126202
210.0,1759,1080.98522
140.0,1553,1081.76322
155.0,2813,1083.214277
505.0,3087,1084.795003
415.0,2673,1086.349126
300.0,2439,1087.824893
215.0,2133,1088.825891
355.0,3207,1090.357618
495.0,2817,1091.746274
150.0,1873,1092.679011
625.0,2723,1094.069411
300.0,2489,1095.347196
290.0,2521,1096.649206
130.0,1111,1097.295206
210.0,2119,1098.655884
75.0,1723,1099.608299
200.0,1527,1100.333294
225.0,1761,1101.196095
300.0,2407,1102.373256
280.0,2759,1103.743189
270.0,2703,1105.094167
600.0,3755,1106.977189
200.0,1947,1107.992696
445.0,3491,1110.139209
340.0,2941,1111.528047
190.0,1669,1112.313714
470.0,2903,1113.73288
500.0,3481,1115.43795
475.0,3471,1117.193832
505.0,3349,1124.832959
355.0,2993,1126.332913
125.0,1891,1127.224644
310.0,2535,1128.451562
555.0,4091,1130.457454
410.0,3627,1132.301218
270.0,2517,1133.883206
280.0,2483,1135.469711
390.0,4505,1137.62365
145.0,2031,1138.605084
225.0,3065,1140.119857
350.0,3503,1141.878909
470.0,4195,1144.023606
545.0,4035,1146.38079
205.0,2503,1147.665985
210.0,1413,1148.326386
280.0,3061,1149.801569
215.0,2193,1150.882792
395.0,3285,1152.508754
160.0,1821,1153.447185
415.0,2839,1154.912151
350.0,3189,1156.896214
375.0,2982,1158.378664
260.0,2541,1159.603648
190.0,2059,1160.605047
320.0,3607,1162.551634
250.0,2717,1164.055754
255.0,2381,1165.324981
235.0,3009,1167.246822
275.0,2539,1168.477444
190.0,1803,1169.336191
295.0,3216,1170.93768
180.0,1975,1171.926479
565.0,3151,1173.509209
70.0,1589,1174.340653
270.0,2529,1175.656375
450.0,4427,1183.976939
290.0,2579,1185.187376
290.0,2778,1186.527444
370.0,2915,1187.988087
250.0,2141,1189.059747
300.0,3157,1190.657059
370.0,2881,1192.199689
565.0,2945,1194.169118
590.0,3351,1195.971675
190.0,2477,1197.14342
325.0,2935,1198.577418
260.0,2043,1199.600537
345.0,2843,1201.038203
195.0,2945,1202.569983
110.0,1963,1203.589759
350.0,3033,1205.494934
475.0,3871,1207.418073
200.0,3197,1208.975048
285.0,2543,1210.225524
500.0,3817,1212.133329
390.0,2645,1213.558604
185.0,1657,1214.612364
335.0,2209,1216.052339
325.0,2561,1217.392448
100.0,1321,1218.020447
265.0,2615,1219.28332
200.0,1921,1220.216449
480.0,3115,1221.820012
485.0,3299,1223.498864
130.0,1877,1224.479566
605.0,3727,1226.526922
245.0,2565,1228.116032
145.0,2125,1229.123359
800.0,4821,1231.429992
195.0,1943,1232.385369
85.0,1143,1232.940114
65.0,1395,1233.661104
100.0,1509,1234.422104
555.0,4279,1240.271855
690.0,3377,1241.934488
70.0,1089,1242.446488
540.0,3775,1244.314298
410.0,3527,1246.06437
335.0,2975,1247.627093
150.0,1443,1248.372556
200.0,1997,1249.426044
180.0,1925,1250.671949
330.0,3193,1252.405982
85.0,1417,1253.069039
600.0,3709,1254.854625
275.0,2599,1256.138408
360.0,2233,1257.253989
345.0,2607,1258.587883
490.0,3849,1260.564489
30.0,1479,1261.495298
275.0,3171,1263.370242
220.0,2195,1264.405146
390.0,3080,1265.887515
510.0,4191,1267.953846
385.0,3073,1269.506265
390.0,3407,1271.249779
355.0,3227,1273.114703
395.0,2723,1274.711853
570.0,4995,1277.065043
380.0,3275,1278.670648
405.0,3511,1280.429305
390.0,3445,1282.181715
620.0,3419,1284.068414
290.0,3017,1285.861917
580.0,3589,1287.548545
775.0,4149,1289.541549
330.0,2685,1290.87159
620.0,3711,1297.979311
200.0,2177,1298.996771
80.0,1751,1299.830224
485.0,3989,1301.768187
190.0,2045,1302.785916
745.0,4001,1304.801195
645.0,3755,1306.730195
355.0,3873,1309.119273
270.0,2103,1310.118339
370.0,2875,1311.491514
535.0,3075,1312.994739
220.0,2373,1314.189731
365.0,2697,1315.55445
410.0,3189,1317.189013
555.0,4095,1319.538169
545.0,3941,1321.715801
340.0,3225,1323.361581
485.0,4045,1325.366003
340.0,2909,1326.851359
350.0,2482,1328.136838
175.0,1591,1328.973081
340.0,3291,1331.084522
300.0,2533,1332.601033
270.0,2511,1333.840242
225.0,2649,1335.142519
430.0,3844,1337.03861
325.0,2905,1338.518093
595.0,3719,1340.581879
145.0,1885,1341.770304
480.0,3405,1343.405026
385.0,2598,1344.671345
500.0,4591,1346.922892
370.0,2903,1348.382804
500.0,3785,1355.470056
160.0,2851,1356.83176
485.0,3603,1358.553327
300.0,2969,1360.005826
145.0,2417,1361.229774
360.0,2958,1362.754421
425.0,2615,1364.308334
465.0,3661,1366.274267
310.0,2531,1367.477214
295.0,2915,1368.891927
345.0,2243,1369.998476
425.0,3871,1371.942824
325.0,2603,1373.280469
310.0,2627,1374.643881
580.0,2605,1376.312319
305.0,2667,1377.659268
430.0,2743,1378.951483
75.0,1435,1379.643778
420.0,2763,1380.996483
125.0,1965,1381.976227
455.0,4107,1384.084719
520.0,4289,1386.466974
535.0,3991,1389.081528
310.0,2412,1390.228426
580.0,4213,1392.241379
510.0,3283,1393.985846
500.0,3245,1395.717584
635.0,3208,1397.532325
770.0,4591,1400.038702
395.0,2893,1401.412593
410.0,2991,1402.874227
295.0,2931,1404.339292
475.0,3675,1406.199826
235.0,2431,1414.319121
520.0,4121,1416.554117
605.0,4354,1418.615262
335.0,3079,1420.142505
500.0,3849,1422.085473
400.0,2597,1423.539715
600.0,4121,1426.013943
640.0,3355,1427.593475
575.0,3963,1429.499844
200.0,1923,1430.451751
750.0,4277,1432.615114
395.0,3193,1434.274437
275.0,2107,1435.541205
410.0,3437,1437.455758
75.0,1179,1438.001758
570.0,3383,1439.620305
405.0,2241,1440.820478
355.0,2645,1442.170115
445.0,3269,1443.832147
345.0,3355,1445.583041
425.0,3322,1447.602594
450.0,2411,1448.904289
135.0,2067,1449.8922
320.0,2781,1451.217406
480.0,3193,1452.796747
510.0,3541,1454.716608
520.0,3481,1456.848954
1055.0,5475,1459.646423
1005.0,4223,1461.693038
425.0,2827,1463.088214
315.0,2476,1464.360952
